               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074917,            0.028527,            0.087505,            0.016246,             0.38123,            0.032583,            0.014656,            0.048396,            0.012488,            0.084287,            0.070345,            0.003295,            0.003295
                   1,            0.047793,            0.025549,            0.077888,             0.79014,             0.04957,            0.070603,            0.040726,            0.045127,            0.011192,            0.078112,            0.040126,           0.0064096,           0.0064096
                   2,            0.046516,            0.024803,             0.07154,             0.54381,             0.09592,              0.0615,            0.033325,            0.045757,            0.011554,            0.074405,           0.0096874,           0.0093042,           0.0093042
